model_dir,model,context,context_sources,dataset,manipulation,macro_f1,accuracy
ministral_14b,ministral-14b-latest,c1,definition,ABSTRCT,original,0.3671497584541063,0.5666666666666667
ministral_14b,ministral-14b-latest,c1,definition,ABSTRCT,content_only,0.6296296296296295,0.6333333333333333
ministral_14b,ministral-14b-latest,c1,definition,ABSTRCT,shuffle,0.4,0.4666666666666667
ministral_14b,ministral-14b-latest,c1,definition,ACQUA,original,0.8285714285714285,0.8333333333333334
ministral_14b,ministral-14b-latest,c1,definition,ACQUA,content_only,0.6527777777777778,0.6666666666666666
ministral_14b,ministral-14b-latest,c1,definition,ACQUA,shuffle,0.5542857142857143,0.5666666666666667
ministral_14b,ministral-14b-latest,c1,definition,AEC,original,0.4712103407755582,0.5
ministral_14b,ministral-14b-latest,c1,definition,AEC,content_only,0.3973214285714286,0.4
ministral_14b,ministral-14b-latest,c1,definition,AEC,shuffle,0.4444444444444444,0.5333333333333333
ministral_14b,ministral-14b-latest,c1,definition,AFS,original,0.55,0.6
ministral_14b,ministral-14b-latest,c1,definition,AFS,content_only,0.6329254727474972,0.6333333333333333
ministral_14b,ministral-14b-latest,c1,definition,AFS,shuffle,0.3333333333333333,0.5
ministral_14b,ministral-14b-latest,c1,definition,ARGUMINSCI,original,0.3602150537634408,0.5333333333333333
ministral_14b,ministral-14b-latest,c1,definition,ARGUMINSCI,content_only,0.32941176470588235,0.5
ministral_14b,ministral-14b-latest,c1,definition,ARGUMINSCI,shuffle,0.22727272727272727,0.5
ministral_14b,ministral-14b-latest,c1,definition,FINARG,original,0.5927601809954751,0.6
ministral_14b,ministral-14b-latest,c1,definition,FINARG,content_only,0.3023255813953488,0.43333333333333335
ministral_14b,ministral-14b-latest,c1,definition,FINARG,shuffle,0.4034090909090909,0.5333333333333333
ministral_14b,ministral-14b-latest,c1,definition,IAM,original,0.6651785714285714,0.6666666666666666
ministral_14b,ministral-14b-latest,c1,definition,IAM,content_only,0.5417156286721504,0.5666666666666667
ministral_14b,ministral-14b-latest,c1,definition,IAM,shuffle,0.5238095238095238,0.6
ministral_14b,ministral-14b-latest,c1,definition,PE,original,0.6651785714285714,0.6666666666666666
ministral_14b,ministral-14b-latest,c1,definition,PE,content_only,0.5833333333333333,0.6
ministral_14b,ministral-14b-latest,c1,definition,PE,shuffle,0.3333333333333333,0.5
ministral_14b,ministral-14b-latest,c1,definition,SCIARK,original,0.7222222222222222,0.7333333333333333
ministral_14b,ministral-14b-latest,c1,definition,SCIARK,content_only,0.6122209165687427,0.6333333333333333
ministral_14b,ministral-14b-latest,c1,definition,SCIARK,shuffle,0.55,0.6
ministral_14b,ministral-14b-latest,c1,definition,USELEC,original,0.6228571428571429,0.6333333333333333
ministral_14b,ministral-14b-latest,c1,definition,USELEC,content_only,0.4857142857142857,0.5
ministral_14b,ministral-14b-latest,c1,definition,USELEC,shuffle,0.4444444444444444,0.5333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,original,0.5542857142857143,0.5666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,content_only,0.5661846496106786,0.5666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,shuffle,0.4444444444444444,0.4666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ACQUA,original,0.7222222222222222,0.7333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ACQUA,content_only,0.40170940170940167,0.6
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ACQUA,shuffle,0.6827262044653349,0.7
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AEC,original,0.5970695970695971,0.6333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AEC,content_only,0.576379974326059,0.6333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AEC,shuffle,0.20634920634920637,0.43333333333333335
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AFS,original,0.4,0.4666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AFS,content_only,0.625,0.6666666666666666
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,AFS,shuffle,0.2170542635658915,0.4666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ARGUMINSCI,original,0.7643097643097643,0.7666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ARGUMINSCI,content_only,0.5970695970695971,0.6333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ARGUMINSCI,shuffle,0.4034090909090909,0.5333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,FINARG,original,0.6651785714285714,0.6666666666666666
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,FINARG,content_only,0.466484268125855,0.5666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,FINARG,shuffle,0.3333333333333333,0.5
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,IAM,original,0.7991071428571428,0.8
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,IAM,content_only,0.8642533936651584,0.8666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,IAM,shuffle,0.3333333333333333,0.5
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,PE,original,0.6228571428571429,0.6333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,PE,content_only,0.569377990430622,0.6
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,PE,shuffle,0.3181818181818182,0.4666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,SCIARK,original,0.7222222222222222,0.7333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,SCIARK,content_only,0.696969696969697,0.7
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,SCIARK,shuffle,0.38440492476060195,0.5
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,USELEC,original,0.6527777777777778,0.6666666666666666
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,USELEC,content_only,0.513888888888889,0.5333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,USELEC,shuffle,0.3165266106442577,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,original,0.6651785714285714,0.6666666666666666
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,content_only,0.55,0.6
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,shuffle,0.4034090909090909,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,original,0.7991071428571428,0.8
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,content_only,0.475,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,shuffle,0.4034090909090909,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,AEC,original,0.513888888888889,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,AEC,content_only,0.4570135746606335,0.4666666666666667
mistral_medium,mistral-medium-latest,c1,definition,AEC,shuffle,0.38440492476060195,0.5
mistral_medium,mistral-medium-latest,c1,definition,AFS,original,0.4712103407755582,0.5
mistral_medium,mistral-medium-latest,c1,definition,AFS,content_only,0.6228571428571429,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,AFS,shuffle,0.466484268125855,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,original,0.576379974326059,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,content_only,0.4034090909090909,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,shuffle,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,FINARG,original,0.6703296703296704,0.7
mistral_medium,mistral-medium-latest,c1,definition,FINARG,content_only,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,FINARG,shuffle,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,IAM,original,0.699666295884316,0.7
mistral_medium,mistral-medium-latest,c1,definition,IAM,content_only,0.7321428571428572,0.7333333333333333
mistral_medium,mistral-medium-latest,c1,definition,IAM,shuffle,0.466484268125855,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,PE,original,0.5661846496106786,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,PE,content_only,0.4,0.4666666666666667
mistral_medium,mistral-medium-latest,c1,definition,PE,shuffle,0.4034090909090909,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,original,0.7643097643097643,0.7666666666666667
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,content_only,0.6527777777777778,0.6666666666666666
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,shuffle,0.466484268125855,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,USELEC,original,0.6329254727474972,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,USELEC,content_only,0.4712103407755582,0.5
mistral_medium,mistral-medium-latest,c1,definition,USELEC,shuffle,0.475,0.5333333333333333
ministral_3b,ministral-3b-latest,c1,definition,ABSTRCT,original,0.660633484162896,0.6666666666666666
ministral_3b,ministral-3b-latest,c1,definition,ABSTRCT,content_only,0.696969696969697,0.7
ministral_3b,ministral-3b-latest,c1,definition,ABSTRCT,shuffle,0.3891402714932127,0.4
ministral_3b,ministral-3b-latest,c1,definition,ACQUA,original,0.6666666666666666,0.6666666666666666
ministral_3b,ministral-3b-latest,c1,definition,ACQUA,content_only,0.45054945054945056,0.5
ministral_3b,ministral-3b-latest,c1,definition,ACQUA,shuffle,0.38440492476060195,0.5
ministral_3b,ministral-3b-latest,c1,definition,AEC,original,0.4444444444444444,0.5333333333333333
ministral_3b,ministral-3b-latest,c1,definition,AEC,content_only,0.4276094276094276,0.43333333333333335
ministral_3b,ministral-3b-latest,c1,definition,AEC,shuffle,0.4857142857142857,0.5
ministral_3b,ministral-3b-latest,c1,definition,AFS,original,0.5927601809954751,0.6
ministral_3b,ministral-3b-latest,c1,definition,AFS,content_only,0.55,0.6
ministral_3b,ministral-3b-latest,c1,definition,AFS,shuffle,0.576379974326059,0.6333333333333333
ministral_3b,ministral-3b-latest,c1,definition,ARGUMINSCI,original,0.4857142857142857,0.5
ministral_3b,ministral-3b-latest,c1,definition,ARGUMINSCI,content_only,0.42233632862644416,0.5
ministral_3b,ministral-3b-latest,c1,definition,ARGUMINSCI,shuffle,0.3650793650793651,0.4666666666666667
ministral_3b,ministral-3b-latest,c1,definition,FINARG,original,0.6329254727474972,0.6333333333333333
ministral_3b,ministral-3b-latest,c1,definition,FINARG,content_only,0.38440492476060195,0.5
ministral_3b,ministral-3b-latest,c1,definition,FINARG,shuffle,0.45054945054945056,0.5
ministral_3b,ministral-3b-latest,c1,definition,IAM,original,0.4276094276094276,0.43333333333333335
ministral_3b,ministral-3b-latest,c1,definition,IAM,content_only,0.4994438264738599,0.5
ministral_3b,ministral-3b-latest,c1,definition,IAM,shuffle,0.5238095238095237,0.5666666666666667
ministral_3b,ministral-3b-latest,c1,definition,PE,original,0.6228571428571429,0.6333333333333333
ministral_3b,ministral-3b-latest,c1,definition,PE,content_only,0.42233632862644416,0.5
ministral_3b,ministral-3b-latest,c1,definition,PE,shuffle,0.3333333333333333,0.5
ministral_3b,ministral-3b-latest,c1,definition,SCIARK,original,0.6228571428571429,0.6333333333333333
ministral_3b,ministral-3b-latest,c1,definition,SCIARK,content_only,0.569377990430622,0.6
ministral_3b,ministral-3b-latest,c1,definition,SCIARK,shuffle,0.4,0.4666666666666667
ministral_3b,ministral-3b-latest,c1,definition,USELEC,original,0.55,0.6
ministral_3b,ministral-3b-latest,c1,definition,USELEC,content_only,0.5248868778280543,0.5333333333333333
ministral_3b,ministral-3b-latest,c1,definition,USELEC,shuffle,0.4994438264738599,0.5
